customer_id,open_rate,click_rate,purchase_rate,unsubscribed
CUST00000,0.19,0.08,0.03,0
CUST00001,0.12,0.05,0.02,0
CUST00002,0.15,0.08,0.04,0
CUST00003,0.32,0.14,0.05,0
CUST00004,0.05,0.03,0.01,0
CUST00005,0.21,0.09,0.03,0
CUST00006,0.4,0.12,0.07,0
CUST00007,0.41,0.23,0.14,0
CUST00008,0.21,0.05,0.02,0
CUST00009,0.43,0.2,0.11,0
CUST00010,0.23,0.12,0.08,0
CUST00011,0.22,0.09,0.07,0
CUST00012,0.29,0.16,0.09,0
CUST00013,0.33,0.14,0.06,0
CUST00014,0.19,0.1,0.06,0
CUST00015,0.21,0.1,0.06,0
CUST00016,0.42,0.21,0.1,1
CUST00017,0.37,0.19,0.14,1
CUST00018,0.23,0.07,0.03,0
CUST00019,0.03,0.02,0.01,0
CUST00020,0.38,0.12,0.07,0
CUST00021,0.13,0.04,0.02,1
CUST00022,0.59,0.19,0.12,0
CUST00023,0.4,0.09,0.03,0
CUST00024,0.3,0.11,0.04,0
CUST00025,0.3,0.09,0.05,0
CUST00026,0.12,0.05,0.03,0
CUST00027,0.29,0.13,0.05,0
CUST00028,0.24,0.13,0.06,0
CUST00029,0.72,0.36,0.12,0
CUST00030,0.22,0.09,0.03,0
CUST00031,0.13,0.04,0.02,0
CUST00032,0.35,0.16,0.05,0
CUST00033,0.1,0.06,0.04,0
CUST00034,0.61,0.15,0.07,0
CUST00035,0.11,0.05,0.03,0
CUST00036,0.32,0.11,0.04,0
CUST00037,0.11,0.06,0.02,0
CUST00038,0.41,0.2,0.11,0
CUST00039,0.33,0.08,0.06,0
CUST00040,0.24,0.09,0.06,0
CUST00041,0.3,0.1,0.04,0
CUST00042,0.18,0.05,0.03,0
CUST00043,0.42,0.22,0.16,0
CUST00044,0.49,0.14,0.11,0
CUST00045,0.65,0.28,0.19,0
CUST00046,0.63,0.29,0.22,0
CUST00047,0.58,0.32,0.23,0
CUST00048,0.4,0.21,0.12,0
CUST00049,0.68,0.37,0.18,0
CUST00050,0.17,0.1,0.06,0
CUST00051,0.19,0.11,0.04,0
CUST00052,0.5,0.18,0.13,0
CUST00053,0.62,0.37,0.21,0
CUST00054,0.07,0.04,0.01,0
CUST00055,0.19,0.11,0.04,0
CUST00056,0.17,0.06,0.04,0
CUST00057,0.21,0.09,0.06,0
CUST00058,0.26,0.05,0.04,0
CUST00059,0.24,0.07,0.03,0
CUST00060,0.08,0.04,0.02,0
CUST00061,0.26,0.08,0.04,0
CUST00062,0.33,0.2,0.08,0
CUST00063,0.32,0.17,0.1,0
CUST00064,0.55,0.22,0.1,0
CUST00065,0.17,0.09,0.04,0
CUST00066,0.48,0.16,0.13,0
CUST00067,0.24,0.08,0.04,0
CUST00068,0.39,0.19,0.14,0
