customer_id,age,gender,region,income,signup_date
CUST00000,56,Male,North,20089.18,2022-08-30
CUST00001,69,Male,Central,55869.83,2023-02-03
CUST00002,46,Male,East,24074.44,2024-04-13
CUST00003,32,Female,East,22368.14,2023-10-08
CUST00004,60,Male,South,42868.5,2025-06-18
CUST00005,25,Female,North,27938.91,2025-01-20
CUST00006,38,Male,South,35239.23,2024-11-29
CUST00007,56,Male,South,37364.87,2022-06-25
CUST00008,36,Female,Central,18283.68,2020-08-11
CUST00009,40,Female,East,53309.29,2024-01-12
CUST00010,28,Male,West,6431.35,2023-09-10
CUST00011,28,Male,East,8185.93,2022-10-12
CUST00012,41,Male,East,15676.1,2021-05-21
CUST00013,70,Female,Central,17824.33,2021-10-17
CUST00014,53,Female,West,26405.1,2023-05-26
CUST00015,57,Male,North,15603.92,2021-01-18
CUST00016,41,Male,West,21895.6,2024-04-30
CUST00017,20,Male,North,19879.19,2020-09-07
CUST00018,39,Female,West,60007.96,2023-07-16
CUST00019,70,Other,South,14728.09,2022-10-10
CUST00020,19,Male,West,9494.59,2022-04-08
CUST00021,41,Female,Central,38541.86,2022-04-12
CUST00022,61,Male,North,15413.85,2025-01-07
CUST00023,47,Male,East,21039.74,2021-01-26
CUST00024,55,Female,Central,15945.19,2024-01-10
CUST00025,19,Female,North,31843.48,2025-07-26
CUST00026,38,Female,North,11079.62,2022-03-13
CUST00027,50,Female,East,5433.85,2022-09-01
CUST00028,29,Male,South,42102.32,2021-10-18
CUST00029,39,Female,Central,24927.71,2024-06-05
CUST00030,61,Male,East,37658.81,2020-12-01
CUST00031,42,Female,East,41402.89,2022-10-18
CUST00032,66,Male,South,13929.54,2025-05-12
CUST00033,44,Female,Central,22704.82,2024-09-26
CUST00034,59,Male,East,28358.84,2021-10-17
CUST00035,45,Male,South,20865.53,2024-03-15
CUST00036,33,Female,Central,18843.52,2022-11-12
CUST00037,32,Male,West,19794.8,2021-01-21
CUST00038,64,Female,North,37864.58,2023-05-17
CUST00039,68,Male,South,19350.89,2024-12-02
CUST00040,61,Male,North,29736.03,2023-10-16
CUST00041,72,Male,West,26198.21,2022-12-08
CUST00042,69,Male,East,13601.13,2020-10-12
CUST00043,74,Female,East,25616.32,2023-08-15
CUST00044,20,Male,Central,10205.32,2023-03-26
CUST00045,54,Female,South,26922.47,2024-05-10
CUST00046,68,Female,South,34391.29,2020-09-26
CUST00047,24,Male,Central,38588.4,2022-08-02
CUST00048,38,Female,North,13679.52,2020-08-27
CUST00049,26,Female,East,16846.92,2022-07-11
CUST00050,56,Female,East,25388.02,2025-01-08
CUST00051,35,Male,South,17361.97,2024-01-09
CUST00052,21,Male,South,8396.43,2022-02-03
CUST00053,42,Female,Central,16800.3,2024-03-10
CUST00054,31,Female,West,25339.02,2022-08-16
CUST00055,67,Female,North,37562.6,2022-08-13
