customer_id,ticket_count,complaint_count,avg_resolution_time,satisfaction_score
CUST00000,1,1,3.35,3.27
CUST00001,2,0,2.24,3.81
CUST00002,3,2,3.29,3.4
CUST00003,2,1,1.21,4.29
CUST00004,0,0,2.73,4.21
CUST00005,1,0,2.48,4.2
CUST00006,1,0,1.53,4.17
CUST00007,2,1,2.18,3.27
CUST00008,0,0,3.57,4.83
CUST00009,2,1,2.61,4.14
CUST00010,1,1,1.46,3.09
CUST00011,2,1,5.14,2.5
CUST00012,0,0,2.58,3.89
CUST00013,3,2,2.45,3.22
CUST00014,4,1,2.13,3.94
CUST00015,2,0,3.95,3.19
CUST00016,2,1,1.69,3.62
CUST00017,5,1,2.51,3.08
CUST00018,1,1,3.57,3.78
CUST00019,0,0,3.2,4.5
CUST00020,1,0,1.1,4.92
CUST00021,0,0,1.14,3.3
CUST00022,2,0,2.04,4.12
CUST00023,1,0,1.88,4.1
CUST00024,1,0,0.77,4.18
CUST00025,2,1,3.81,4.16
CUST00026,3,2,2.94,3.38
CUST00027,1,0,2.73,4.17
CUST00028,0,0,1.75,4.41
CUST00029,0,0,1.58,4.59
CUST00030,0,0,3.62,4.35
CUST00031,0,0,0.5,4.62
CUST00032,1,1,1.21,2.55
CUST00033,1,0,1.99,3.52
CUST00034,0,0,0.83,3.69
CUST00035,1,0,2.05,3.9
CUST00036,2,2,1.62,2.84
CUST00037,1,1,4.21,3.21
CUST00038,3,3,3.26,3.94
CUST00039,0,0,2.3,3.57
CUST00040,1,1,1.31,4.17
CUST00041,2,1,1.62,4.14
CUST00042,2,2,3.51,4.22
CUST00043,2,0,2.35,3.1
CUST00044,1,0,5.02,4.37
CUST00045,0,0,3.01,4.48
CUST00046,3,1,1.25,4.0
CUST00047,0,0,2.28,4.51
CUST00048,2,0,3.73,4.29
CUST00049,0,0,3.14,4.16
CUST00050,0,0,3.33,3.85
CUST00051,1,1,4.12,3.98
CUST00052,4,4,1.67,3.52
CUST00053,1,0,3.6,3.93
CUST00054,1,0,1.76,3.15
CUST00055,0,0,0.8,4.1
CUST00056,3,2,0.5,3.55
CUST00057,1,1,2.22,4.06
CUST00058,2,0,1.57,4.66
CUST00059,2,1,2.21,4.08
CUST00060,4,2,2.31,3.1
CUST00061,1,0,2.21,3.81
CUST00062,2,1,2.18,3.77
CUST00063,1,0,1.86,3.91
CUST00064,0,0,1.66,4.35
CUST00065,1,1,1.57,4.16
CUST00066,0,0,2.49,4.53
CUST00067,2,1,1.98,4.21
CUST00068,3,0,2.18,3.6
CUST00069,2,1,3.34,3.23
CUST00070,1,0,2.0,4.41
CUST00071,2,2,3.65,3.93
CUST00072,0,0,2.43,3.14
CUST00073,0,0,2.69,3.92
CUST00074,1,0,2.88,3.73
CUST00075,2,0,4.29,3.3
CUST00076,1,0,2.78,4.01
CUST00077,0,0,1.87,4.44
CUST00078,2,2,3.26,3.5
CUST00079,1,0,2.13,4.33
CUST00080,3,0,2.95,4.23
CUST00081,0,0,1.97,3.73
CUST00082,2,2,3.36,3.55
CUST00083,1,0,2.42,3.96
CUST00084,1,0,4.13,3.86
CUST00085,0,0,1.83,4.38
CUST00086,1,0,1.52,4.01
CUST00087,0,0,0.79,3.49
CUST00088,1,0,2.72,3.87
CUST00089,3,2,3.21,4.02
CUST00090,0,0,3.48,3.32
CUST00091,0,0,2.63,4.48
CUST00092,2,1,2.57,4.55
CUST00093,1,0,3.11,4.1
CUST00094,1,0,2.27,3.77
CUST00095,0,0,2.3,4.45
CUST00096,2,1,1.65,3.88
CUST00097,3,1,1.14,3.54
CUST00098,0,0,2.18,4.3
CUST00099,1,0,2.25,4.21
CUST00100,1,0,2.67,2.97
CUST00101,1,1,3.16,4.2
CUST00102,0,0,2.4,4.72
CUST00103,2,1,2.81,2.85
CUST00104,4,1,3.76,3.68
CUST00105,1,0,3.02,3.24
CUST00106,2,1,1.92,3.04
CUST00107,6,1,2.7,3.88
CUST00108,2,1,2.13,2.67
CUST00109,3,2,2.43,3.84
CUST00110,1,1,0.81,3.63
CUST00111,0,0,4.24,3.68
CUST00112,1,0,4.02,3.59
CUST00113,0,0,2.91,4.75
CUST00114,1,1,1.51,2.89
CUST00115,1,0,2.76,4.94
CUST00116,0,0,0.5,4.74
CUST00117,0,0,2.99,4.26
CUST00118,3,0,1.46,4.38
CUST00119,0,0,1.25,3.16
CUST00120,1,0,2.89,4.2
CUST00121,1,0,5.02,3.89
CUST00122,2,0,1.28,4.2
CUST00123,1,0,4.12,3.67
CUST00124,1,1,2.19,3.47
CUST00125,1,1,3.1,4.3
CUST00126,0,0,4.28,3.97
CUST00127,1,0,2.48,4.17
CUST00128,2,1,1.32,3.02
CUST00129,3,3,4.34,3.72
CUST00130,1,0,2.83,4.65
CUST00131,3,1,1.97,3.82
CUST00132,1,1,2.63,4.55
CUST00133,0,0,3.27,4.76
CUST00134,2,2,1.71,3.99
CUST00135,4,0,1.45,4.33
CUST00136,0,0,3.69,3.42
CUST00137,1,0,3.19,3.89
CUST00138,0,0,2.8,4.09
CUST00139,1,0,1.89,4.63
CUST00140,1,0,1.62,3.11
CUST00141,1,0,2.03,4.34
CUST00142,1,0,2.91,3.86
CUST00143,3,2,2.28,4.19
CUST00144,2,2,0.5,3.91
CUST00145,1,0,2.07,4.5
CUST00146,1,0,2.32,4.24
CUST00147,1,0,2.59,3.4
CUST00148,0,0,4.1,3.4
CUST00149,0,0,3.71,3.2
CUST00150,2,0,2.81,3.98
CUST00151,0,0,5.12,4.71
CUST00152,0,0,1.59,4.52
CUST00153,2,2,4.45,3.71
CUST00154,2,2,2.93,3.82
CUST00155,3,1,3.06,4.73
CUST00156,1,0,2.46,3.68
CUST00157,1,0,2.76,3.03
CUST00158,2,1,3.75,4.22
CUST00159,2,1,2.68,4.32
CUST00160,0,0,4.02,3.72
CUST00161,2,2,2.18,3.02
CUST00162,3,1,1.99,3.83
CUST00163,0,0,1.44,4.06
CUST00164,0,0,4.4,4.55
CUST00165,3,0,2.71,3.47
CUST00166,1,0,2.58,3.77
CUST00167,2,0,2.95,3.76
CUST00168,3,1,3.52,3.92
CUST00169,0,0,0.85,4.32
CUST00170,1,0,2.78,4.21
CUST00171,1,0,4.57,3.92
CUST00172,1,0,2.91,3.91
CUST00173,2,2,1.57,4.5
CUST00174,1,1,1.44,3.4
CUST00175,2,1,2.87,3.8
CUST00176,0,0,4.45,2.67
CUST00177,3,1,1.47,3.53
CUST00178,2,2,4.14,3.55
CUST00179,2,0,2.29,3.77
CUST00180,1,0,1.86,4.25
CUST00181,2,1,1.0,4.38
CUST00182,1,1,0.5,2.98
CUST00183,2,0,3.87,4.89
CUST00184,1,1,2.82,4.39
CUST00185,4,3,2.46,3.18
CUST00186,2,1,2.18,3.57
CUST00187,0,0,2.97,3.91
CUST00188,2,1,3.86,4.63
CUST00189,1,0,1.85,3.36
CUST00190,2,0,3.59,3.63
CUST00191,0,0,2.04,3.85
CUST00192,2,2,2.07,3.59
CUST00193,2,2,2.62,3.51
CUST00194,1,0,2.04,3.59
CUST00195,2,1,1.79,3.67
CUST00196,1,0,2.75,3.07
CUST00197,0,0,2.38,4.35
CUST00198,0,0,0.5,4.52
CUST00199,0,0,2.81,4.1
CUST00200,0,0,3.39,4.64
CUST00201,0,0,1.85,4.01
CUST00202,0,0,2.25,3.77
CUST00203,1,0,2.81,4.15
CUST00204,1,0,3.98,3.99
CUST00205,0,0,4.24,4.6
CUST00206,4,4,3.04,3.44
CUST00207,3,0,1.33,3.63
CUST00208,3,1,2.12,3.32
CUST00209,2,0,1.22,3.73
CUST00210,1,0,4.7,4.49
CUST00211,3,1,3.77,3.68
CUST00212,2,2,2.03,3.12
CUST00213,0,0,2.23,3.67
CUST00214,2,0,2.79,5.0
CUST00215,3,0,1.06,3.59
CUST00216,3,2,0.85,3.38
CUST00217,0,0,1.01,3.86
CUST00218,1,0,3.14,4.53
CUST00219,2,2,2.38,3.87
CUST00220,1,1,3.52,3.03
CUST00221,4,2,1.75,2.86
CUST00222,1,0,3.18,3.3
CUST00223,0,0,3.84,3.35
CUST00224,3,1,3.16,4.26
CUST00225,4,2,3.43,3.75
CUST00226,1,1,1.64,3.6
CUST00227,1,0,3.18,3.13
CUST00228,0,0,2.36,4.44
CUST00229,0,0,1.31,4.42
CUST00230,1,1,1.48,5.0
CUST00231,1,0,1.01,4.84
CUST00232,2,1,3.04,3.61
CUST00233,4,2,1.92,3.91
CUST00234,2,1,1.46,3.57
CUST00235,4,4,3.26,3.5
CUST00236,3,2,3.24,3.74
