Unnamed: 0,customer_id,age,gender,region,income,signup_date,ticket_count,complaint_count,avg_resolution_time,satisfaction_score,open_rate,click_rate,purchase_rate,unsubscribed,churn,ltv
0,CUST00000,56.0,Male,North,20089.18,2022-08-30,1,1,3.35,3.27,0.19,0.08,0.03,0,0,10743.89
1,CUST00001,,Male,Central,55869.83,2023-02-03,2,0,2.24,3.81,0.12,0.05,0.02,0,0,7642.6
2,CUST00002,46.0,Male,East,24074.44,2024-04-13,3,2,3.29,3.4,0.15,0.08,0.04,0,1,10474.98
3,CUST00003,32.0,Female,East,22368.14,2023-10-08,2,1,1.21,4.29,0.32,0.14,0.05,0,0,10153.26
4,CUST00004,60.0,Male,South,42868.5,2025-06-18,0,0,2.73,4.21,0.05,0.03,0.01,0,0,8910.84
5,CUST00005,,Female,North,27938.91,2025-01-20,1,0,2.48,4.2,0.21,0.09,0.03,0,0,10180.81
6,CUST00006,38.0,Male,South,35239.23,2024-11-29,1,0,1.53,4.17,0.4,0.12,0.07,0,0,7467.34
7,CUST00007,56.0,Male,South,37364.87,2022-06-25,2,1,2.18,,0.41,0.23,0.14,0,0,6569.63
8,CUST00008,36.0,Female,Central,18283.68,2020-08-11,0,0,3.57,4.83,0.21,0.05,0.02,0,0,6599.19
9,CUST00009,40.0,Female,East,53309.29,2024-01-12,2,1,2.61,4.14,0.43,0.2,0.11,0,0,8894.65
10,CUST00010,28.0,Male,West,6431.35,2023-09-10,1,1,1.46,3.09,0.23,0.12,0.08,0,0,7703.18
11,CUST00011,28.0,Male,East,8185.93,2022-10-12,2,1,5.14,2.5,0.22,0.09,0.07,0,0,10353.27
12,CUST00012,41.0,Male,East,15676.1,2021-05-21,0,0,2.58,3.89,0.29,0.16,0.09,0,0,9395.64
13,CUST00013,70.0,Female,Central,17824.33,2021-10-17,3,2,2.45,3.22,0.33,0.14,0.06,0,1,9428.77
14,CUST00014,53.0,Female,West,26405.1,2023-05-26,4,1,2.13,3.94,0.19,0.1,0.06,0,0,8321.27
15,CUST00015,57.0,Male,North,15603.92,2021-01-18,2,0,3.95,3.19,0.21,0.1,0.06,0,1,11095.74
16,CUST00016,41.0,Male,West,21895.6,2024-04-30,2,1,1.69,3.62,0.42,0.21,0.1,1,0,8138.06
17,CUST00017,20.0,Male,North,19879.19,2020-09-07,5,1,2.51,3.08,0.37,0.19,0.14,1,0,8782.44
18,CUST00018,39.0,Female,West,60007.96,2023-07-16,1,1,3.57,3.78,0.23,0.07,0.03,0,0,8896.75
19,CUST00019,70.0,Other,South,14728.09,2022-10-10,0,0,3.2,4.5,0.03,0.02,0.01,0,0,7617.64
20,CUST00020,19.0,Male,West,,2022-04-08,1,0,1.1,4.92,0.38,0.12,0.07,0,0,10234.73
21,CUST00021,41.0,Female,Central,38541.86,2022-04-12,0,0,1.14,3.3,0.13,0.04,0.02,1,1,10401.43
22,CUST00022,61.0,Male,North,15413.85,2025-01-07,2,0,2.04,4.12,0.59,0.19,0.12,0,0,9321.53
23,CUST00023,47.0,Male,East,21039.74,2021-01-26,1,0,1.88,4.1,0.4,0.09,0.03,0,0,9068.24
24,CUST00024,55.0,Female,Central,15945.19,2024-01-10,1,0,0.77,4.18,0.3,0.11,0.04,0,0,8931.53
25,CUST00025,,Female,North,31843.48,2025-07-26,2,1,3.81,4.16,0.3,0.09,0.05,0,0,9082.93
26,CUST00026,38.0,Female,North,11079.62,2022-03-13,3,2,2.94,3.38,0.12,0.05,0.03,0,1,10403.25
27,CUST00027,50.0,Female,East,5433.85,2022-09-01,1,0,2.73,4.17,0.29,0.13,0.05,0,0,7898.21
28,CUST00028,29.0,Male,South,42102.32,2021-10-18,0,0,1.75,4.41,0.24,0.13,0.06,0,0,9297.38
29,CUST00029,39.0,Female,Central,24927.71,2024-06-05,0,0,1.58,4.59,0.72,0.36,0.12,0,0,9230.51
30,CUST00030,61.0,Male,East,,2020-12-01,0,0,3.62,4.35,0.22,0.09,0.03,0,0,7479.74
31,CUST00031,42.0,Female,East,41402.89,2022-10-18,0,0,0.5,4.62,0.13,0.04,0.02,0,0,10523.2
32,CUST00032,66.0,Male,South,13929.54,2025-05-12,1,1,1.21,2.55,0.35,0.16,0.05,0,1,7396.67
33,CUST00033,44.0,Female,Central,22704.82,2024-09-26,1,0,1.99,3.52,0.1,0.06,0.04,0,0,8343.14
34,CUST00034,59.0,Male,East,28358.84,2021-10-17,0,0,0.83,3.69,0.61,0.15,0.07,0,0,9202.56
35,CUST00035,45.0,Male,South,20865.53,2024-03-15,1,0,2.05,3.9,0.11,0.05,0.03,0,0,7296.04
36,CUST00036,33.0,Female,Central,18843.52,2022-11-12,2,2,1.62,2.84,0.32,0.11,0.04,0,0,8123.59
37,CUST00037,32.0,Male,West,19794.8,2021-01-21,1,1,4.21,3.21,0.11,0.06,0.02,0,1,11153.66
38,CUST00038,64.0,Female,North,37864.58,2023-05-17,3,3,3.26,3.94,0.41,0.2,0.11,0,1,10303.89
39,CUST00039,68.0,Male,South,19350.89,2024-12-02,0,0,2.3,3.57,0.33,0.08,0.06,0,0,8097.94
40,CUST00040,61.0,Male,North,29736.03,2023-10-16,1,1,1.31,4.17,0.24,0.09,0.06,0,0,8936.17
41,CUST00041,72.0,Male,West,26198.21,2022-12-08,2,1,1.62,4.14,0.3,0.1,0.04,0,0,6856.53
42,CUST00042,69.0,Male,East,13601.13,2020-10-12,2,2,3.51,4.22,0.18,0.05,0.03,0,0,9179.72
43,CUST00043,74.0,Female,East,25616.32,2023-08-15,2,0,2.35,3.1,0.42,0.22,0.16,0,0,9491.83
44,CUST00044,20.0,Male,Central,10205.32,2023-03-26,1,0,5.02,4.37,0.49,0.14,0.11,0,0,6684.85
45,CUST00045,54.0,Female,South,26922.47,2024-05-10,0,0,3.01,4.48,0.65,0.28,0.19,0,0,11472.16
46,CUST00046,68.0,Female,South,34391.29,2020-09-26,3,1,1.25,4.0,0.63,0.29,0.22,0,0,7947.01
47,CUST00047,24.0,Male,Central,38588.4,2022-08-02,0,0,2.28,4.51,0.58,0.32,0.23,0,0,6450.73
48,CUST00048,38.0,Female,North,13679.52,2020-08-27,2,0,3.73,4.29,0.4,0.21,0.12,0,0,8361.21
49,CUST00049,26.0,Female,East,16846.92,2022-07-11,0,0,3.14,4.16,0.68,0.37,0.18,0,0,9473.93
50,CUST00050,56.0,Female,East,25388.02,2025-01-08,0,0,3.33,3.85,0.17,0.1,0.06,0,0,8397.08
51,CUST00051,35.0,Male,South,17361.97,2024-01-09,1,1,4.12,3.98,0.19,0.11,0.04,0,0,8813.86
52,CUST00052,21.0,Male,South,8396.43,2022-02-03,4,4,1.67,3.52,0.5,0.18,0.13,0,0,9586.39
53,CUST00053,42.0,Female,Central,16800.3,2024-03-10,1,0,3.6,3.93,0.62,0.37,0.21,0,0,7092.18
54,CUST00054,31.0,Female,West,25339.02,2022-08-16,1,0,1.76,3.15,0.07,0.04,0.01,0,0,7262.43
55,CUST00055,67.0,Female,North,37562.6,2022-08-13,0,0,0.8,4.1,0.19,0.11,0.04,0,0,8734.51
56,CUST00056,26.0,Male,West,51256.83,2022-08-29,3,2,0.5,3.55,0.17,0.06,0.04,0,0,8358.64
